TCR Val	Valid	Accept		V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V41	V42	V43	V44	V45	V46	V47	V48	V49	V50	V51	V52	V53	V54	V55	V56	V57	V58	V59	V60	V61	V62	V63	V64	V65	V66	V67	V68	V69	V70	V71	V72	V73	V74	V75	V76	V77	V78	V79	V80	V81	V82	V83	V84	V85	V86	V87	V88	V89	V90	V91	V92	V93	V94	V95	V96	V97	V98	V99	V100	Total
21.00	True	True		359.14	367.75	162.55	380.97	360.24	441.01	219.64	213.14	123.18	183.99	383.96	179.52	343.35	383.43	180.63	139.57	389.92	152.10	177.30	145.95	384.95	105.70	143.71	276.80	359.43	329.56	115.59	264.93	157.00	267.57	441.80	366.45	355.20	172.18	368.39	440.67	377.02	343.29	225.86	176.70	215.13	407.16	149.69	311.00	400.13	167.77	352.51	388.62	240.94	360.05	372.12	243.95	169.16	247.66	177.02	382.82	145.23	227.47	188.53	384.23	430.98	165.54	258.17	179.99	182.95	191.90	351.04	339.94	226.16	413.17	375.55	168.68	137.97	220.22	192.89	192.28	397.16	244.71	254.15	375.95	362.42	390.70	173.83	180.02	423.88	281.04	409.87	362.71	346.26	286.81	413.99	344.73	161.73	388.28	348.91	354.52	159.27	365.99	135.62	178.33	27859.625904
22.00	True	True		392.82	367.75	162.55	380.97	393.92	474.69	233.03	213.14	123.18	183.99	417.64	179.52	356.73	417.11	180.63	152.95	423.60	152.10	177.30	179.63	418.63	105.70	143.71	276.80	393.11	363.24	115.59	278.31	157.00	301.25	441.80	366.45	388.89	172.18	402.07	474.35	377.02	376.97	225.86	176.70	215.13	420.55	149.69	344.69	413.52	167.77	386.19	402.01	240.94	393.73	405.80	243.95	169.16	261.04	177.02	416.50	145.23	227.47	188.53	384.23	464.67	165.54	271.56	179.99	182.95	191.90	384.73	373.62	239.54	446.85	409.24	168.68	137.97	253.90	206.27	192.28	410.54	244.71	267.53	375.95	396.11	404.08	173.83	213.70	423.88	294.42	443.55	396.39	379.94	286.81	413.99	378.41	161.73	421.97	348.91	367.90	159.27	399.67	135.62	212.01	29252.6071992
23.00	True	True		425.02	367.75	162.55	413.18	426.12	506.89	245.49	213.14	123.18	183.99	449.85	179.52	388.94	429.57	212.84	152.95	455.81	152.10	177.30	179.63	450.83	105.70	143.71	289.26	425.32	375.70	115.59	310.51	157.00	333.46	474.00	398.66	421.09	204.38	414.53	506.56	409.22	376.97	225.86	176.70	215.13	420.55	149.69	376.89	425.98	167.77	418.39	434.21	240.94	406.19	418.26	243.95	201.37	273.50	189.47	416.50	145.23	227.47	188.53	416.43	496.87	165.54	284.02	179.99	182.95	191.90	416.93	373.62	239.54	479.05	441.44	168.68	170.17	253.90	218.73	192.28	442.75	244.71	279.99	408.15	428.31	436.29	173.83	213.70	423.88	306.88	475.76	396.39	412.14	286.81	446.19	410.61	193.94	421.97	381.12	367.90	191.48	431.88	135.62	212.01	30715.2375592
24.00	True	True		458.88	401.61	162.55	447.04	426.12	540.75	260.24	213.14	123.18	217.85	483.71	179.52	422.80	444.32	212.84	152.95	489.67	166.86	177.30	179.63	450.83	105.70	143.71	323.12	459.18	375.70	115.59	325.27	171.75	367.31	507.86	432.52	454.95	204.38	448.39	540.42	443.08	410.83	225.86	176.70	248.99	454.41	149.69	376.89	425.98	167.77	452.25	434.21	240.94	440.05	418.26	243.95	201.37	288.26	189.47	416.50	145.23	227.47	222.38	450.29	530.73	165.54	298.77	179.99	216.81	191.90	450.79	407.48	239.54	512.91	441.44	202.54	170.17	253.90	233.49	192.28	476.61	278.57	294.75	442.01	443.07	436.29	173.83	213.70	457.74	306.88	509.61	396.39	446.00	286.81	480.05	444.47	193.94	455.82	381.12	401.76	191.48	465.74	135.62	212.01	32250.9994371
25.00	True	True		496.28	439.00	162.55	461.34	426.12	578.15	274.54	213.14	137.48	217.85	498.01	179.52	460.19	481.72	212.84	152.95	527.06	166.86	177.30	179.63	488.23	120.00	143.71	360.52	496.58	413.10	115.59	325.27	171.75	367.31	545.26	446.82	492.35	204.38	448.39	554.72	457.38	425.13	225.86	176.70	286.39	491.80	149.69	414.29	463.37	167.77	489.65	471.61	278.33	477.45	455.66	243.95	201.37	288.26	189.47	416.50	182.63	227.47	222.38	487.69	530.73	179.84	313.07	194.29	216.81	191.90	465.09	444.88	239.54	550.31	478.84	202.54	170.17	253.90	247.79	192.28	514.01	278.57	309.05	479.41	480.46	473.68	211.23	213.70	457.74	306.88	547.01	433.79	460.30	286.81	517.45	444.47	193.94	493.22	381.12	439.16	191.48	503.13	135.62	212.01	33863.549409
26.00	True	True		531.38	474.10	162.55	496.43	461.22	613.25	286.80	213.14	137.48	230.11	533.11	179.52	460.19	516.82	212.84	152.95	562.16	166.86	177.30	179.63	523.33	120.00	143.71	372.78	508.84	448.20	115.59	325.27	184.02	367.31	557.52	446.82	527.45	204.38	483.49	589.82	492.48	460.23	225.86	176.70	286.39	526.90	149.69	449.39	498.47	167.77	501.91	506.71	278.33	477.45	490.76	279.04	201.37	300.52	224.57	428.76	217.73	227.47	222.38	487.69	565.83	179.84	313.07	229.39	216.81	227.00	500.19	479.98	239.54	585.41	478.84	214.80	170.17	253.90	260.05	227.38	549.11	278.57	321.31	514.51	515.56	485.94	246.32	213.70	457.74	319.14	582.11	468.89	472.56	286.81	552.55	479.57	229.04	528.32	416.22	474.26	191.48	503.13	135.62	247.11	35556.7268794
27.00	True	True		551.43	519.47	162.55	516.48	461.22	613.25	306.85	213.14	137.48	230.11	578.47	179.52	480.24	516.82	212.84	152.95	607.53	186.90	177.30	179.63	568.70	120.00	143.71	392.83	554.21	493.57	115.59	345.32	184.02	367.31	602.89	492.19	547.50	204.38	503.54	635.19	537.85	460.23	271.22	176.70	286.39	572.27	149.69	449.39	498.47	167.77	547.28	506.71	323.70	497.50	510.80	279.04	201.37	345.89	224.57	428.76	217.73	227.47	222.38	533.06	585.88	179.84	333.12	229.39	216.81	272.37	500.19	479.98	239.54	630.78	524.21	214.80	215.54	253.90	260.05	227.38	549.11	278.57	341.36	559.88	560.93	485.94	246.32	213.70	503.11	319.14	627.48	514.26	517.93	332.17	597.92	524.94	229.04	573.69	461.58	519.63	191.48	548.50	135.62	247.11	37334.5632234
28.00	True	True		592.86	560.90	162.55	557.91	461.22	654.68	325.52	213.14	137.48	230.11	619.91	220.96	521.67	558.25	212.84	152.95	607.53	186.90	177.30	179.63	610.13	120.00	143.71	392.83	595.64	535.00	115.59	386.75	184.02	408.75	644.32	510.85	588.93	204.38	544.97	676.62	579.28	460.23	271.22	176.70	286.39	613.70	149.69	449.39	517.14	167.77	547.28	548.14	323.70	497.50	552.24	279.04	201.37	387.32	224.57	470.19	217.73	227.47	222.38	574.49	604.54	179.84	333.12	229.39	216.81	313.80	541.62	498.65	239.54	672.21	565.64	214.80	256.97	295.34	278.71	227.38	590.54	278.57	382.79	559.88	579.60	485.94	246.32	213.70	544.54	337.81	668.91	555.69	536.60	332.17	639.35	524.94	270.47	615.12	503.02	561.06	191.48	548.50	177.05	247.11	39201.2913846
29.00	True	True		640.55	560.90	162.55	605.61	508.91	654.68	347.62	213.14	137.48	230.11	667.60	220.96	569.37	605.94	212.84	152.95	655.22	186.90	224.99	179.63	657.83	120.00	143.71	392.83	595.64	535.00	115.59	408.85	184.02	456.44	644.32	558.55	636.62	204.38	544.97	724.31	626.97	507.92	318.92	176.70	286.39	661.40	149.69	497.08	564.83	167.77	594.97	595.83	323.70	545.19	599.93	279.04	201.37	409.42	224.57	517.88	217.73	227.47	222.38	622.18	652.24	179.84	355.22	229.39	216.81	313.80	541.62	520.75	239.54	719.90	565.64	262.49	256.97	295.34	300.82	227.38	590.54	326.26	404.89	581.98	579.60	508.05	294.02	213.70	544.54	337.81	668.91	577.80	584.29	332.17	687.04	572.63	270.47	637.23	550.71	608.75	191.48	596.20	177.05	247.11	41161.3559538
30.00	True	True		640.55	577.74	162.55	622.45	555.54	654.68	364.46	213.14	137.48	230.11	714.23	220.96	615.99	605.94	229.68	199.58	655.22	186.90	271.62	196.47	704.45	120.00	160.55	439.45	642.26	581.62	132.43	425.69	184.02	473.28	690.95	558.55	683.25	204.38	591.60	770.94	626.97	554.55	318.92	176.70	286.39	708.02	149.69	543.71	611.46	167.77	641.60	612.67	340.54	545.19	646.56	279.04	201.37	426.26	224.57	517.88	217.73	227.47	222.38	668.81	698.86	226.47	372.06	276.02	216.81	313.80	541.62	567.38	239.54	766.53	612.27	262.49	256.97	341.96	317.66	227.38	637.16	326.26	404.89	598.82	626.23	508.05	294.02	213.70	591.16	354.65	715.54	624.42	630.92	332.17	733.67	619.26	270.47	683.85	550.71	625.59	238.10	596.20	177.05	293.73	43219.4237515
